ID,Education,Income,Total_Spending
2254,Graduation,69520,1455
10281,Graduation,64713,602
6497,Graduation,51651,433
5396,Graduation,68487,1366
1052,Graduation,56796,1001
2802,2n Cycle,87000,961
6343,Graduation,79823,1518
4865,Master,53367,400
3107,Graduation,71322,350
7734,Graduation,79244,1216
7428,Graduation,80144,1367
975,Graduation,54252,264
1103,Master,81929,2053
3422,Graduation,76068,1376
1055,Master,53204,45
6544,PhD,67911,976
2909,PhD,78128,1264
6183,Master,58646,140
340,Graduation,72967,497
3104,Graduation,82332,2006
9729,Graduation,58275,615
9907,Master,66476,1013
8659,PhD,69805,1038
6262,Master,72217,1573
4915,2n Cycle,53230,732
2115,Graduation,50116,66
2088,Graduation,84906,1631
2493,Graduation,61286,608
6292,PhD,82333,1822
1631,PhD,65220,1282
3919,Master,72309,1931
11181,PhD,156924,8
4369,Master,65487,1169
10127,Graduation,58692,395
2948,Master,62637,185
5136,Graduation,65333,798
9790,Graduation,78499,1334
7873,PhD,63516,300
7233,Graduation,69209,1782
5186,PhD,58482,731
10157,Graduation,59686,274
5667,PhD,60896,1701
902,Graduation,62994,312
7313,2n Cycle,74859,1565
2429,Graduation,72071,1338
3520,Master,91172,1092
10394,Graduation,90000,1479
9362,Graduation,69263,568
3968,2n Cycle,65706,1199
4084,Graduation,60934,873
6721,Graduation,71965,1213
2829,Graduation,65210,731
1772,PhD,79174,2043
1544,Master,81380,1893
4377,Graduation,52914,575
8207,2n Cycle,53233,40
9723,Graduation,67716,1016
2666,Master,76234,907
5721,PhD,84117,1566
10652,Master,65487,1169
4418,Master,89616,1644
8722,2n Cycle,82347,1853
7118,Graduation,73803,1528
10722,Graduation,55593,546
2632,Graduation,50501,500
10968,Graduation,57731,704
2736,Graduation,73807,849
1092,Graduation,61014,1147
10469,Graduation,88325,1623
3661,2n Cycle,80617,1435
9589,PhD,82032,1234
6261,Graduation,58025,470
7366,Master,75777,1438
4286,PhD,57642,679
4749,Graduation,58554,586
4478,Graduation,63777,653
4201,Graduation,57967,468
9432,Graduation,666666,62
10870,Graduation,61223,1341
4001,PhD,64014,444
7270,Graduation,56981,1241
8235,Master,69245,843
9405,PhD,52869,172
